ugly	-3.90	1.16
painful	-3.69	1.53
intent	-3.49	1.67
terrible	-3.38	1.55
drunk	-3.28	1.16
tragedy	-3.26	1.48
awful	-3.21	1.37
weak	-3.12	1.63
worst	-3.10	1.74
accident	-3.03	1.55
nightmare	-3.02	1.45
victim	-3.01	1.59
destruction	-2.95	1.55
faced	-2.93	1.59
damned	-2.92	1.08
souls	-2.92	1.74
scary	-2.92	1.27
poverty	-2.89	1.57
suicide	-2.85	1.43
events	-2.85	1.77
sorts	-2.84	1.83
trapped	-2.83	1.53
monster	-2.82	0.87
lonely	-2.80	1.38
circles	-2.80	2.06
scream	-2.79	1.77
ridiculous	-2.76	1.29
situations	-2.75	1.64
fate	-2.69	1.54
stupid	-2.67	1.67
bitter	-2.66	2.02
rural	-2.66	1.98
harsh	-2.66	1.89
fault	-2.62	1.47
re	-2.60	1.95
occurred	-2.60	1.75
circumstances	-2.59	1.65
blame	-2.59	1.63
housing	-2.58	1.98
snake	-2.58	0.89
bored	-2.56	1.84
blacks	-2.55	1.86
sick	-2.53	1.70
dragon	-2.51	1.87
complained	-2.51	1.75
nasty	-2.50	1.78
tired	-2.49	1.87
acts	-2.48	1.82
bloody	-2.48	1.07
beast	-2.47	0.73
smelled	-2.44	1.98
minority	-2.43	1.98
incident	-2.42	1.72
boring	-2.42	1.14
creatures	-2.42	1.74
suffering	-2.39	0.55
creature	-2.39	1.76
anxious	-2.37	2.01
smells	-2.36	2.08
suffer	-2.36	0.69
frustrated	-2.36	2.04
worried	-2.34	1.92
mistakes	-2.33	0.91
witch	-2.33	1.54
battles	-2.31	0.80
upset	-2.30	1.98
angry	-2.30	2.03
beings	-2.29	1.95
victims	-2.28	0.64
mad	-2.27	1.33
admitted	-2.27	1.87
suffered	-2.27	0.78
confused	-2.26	2.09
opponents	-2.26	2.19
deadly	-2.26	0.95
smell	-2.26	2.29
alien	-2.25	1.50
stayed	-2.24	2.09
inevitable	-2.21	0.75
bother	-2.20	1.94
hungry	-2.20	1.35
scent	-2.19	2.30
cole	-2.19	2.29
bothered	-2.19	1.84
shame	-2.17	1.86
frightened	-2.15	2.10
troubled	-2.15	2.04
random	-2.15	1.76
guessed	-2.14	2.00
disaster	-2.12	0.69
ghost	-2.11	1.82
mess	-2.11	1.71
exhausted	-2.10	1.56
punishment	-2.10	0.63
demanding	-2.09	1.95
fucking	-2.09	1.91
contrast	-2.09	2.11
merely	-2.09	1.86
minds	-2.08	1.90
disappointed	-2.08	2.12
belong	-2.07	1.94
practically	-2.07	1.93
necessarily	-2.07	1.87
desperate	-2.07	1.43
strange	-2.06	1.42
aging	-2.06	1.95
crash	-2.05	0.91
bin	-2.05	2.24
worse	-2.04	1.64
hurt	-2.02	1.47
deaths	-2.01	0.81
cast	-2.01	2.26
scared	-2.01	1.53
lack	-1.97	1.84
fever	-1.96	0.70
concerned	-1.95	1.92
dirty	-1.94	0.94
murder	-1.93	0.53
likes	-1.93	1.93
powers	-1.92	2.30
burns	-1.91	0.82
remind	-1.89	1.96
crime	-1.89	0.55
mistake	-1.87	0.92
cat	-1.86	1.03
crimes	-1.86	0.53
lillian	-1.85	2.19
humanity	-1.85	2.06
uncomfortable	-1.85	1.68
injured	-1.84	0.70
damage	-1.82	0.58
dangerous	-1.82	1.43
devil	-1.81	1.99
occasional	-1.81	1.98
dealing	-1.80	0.79
insisted	-1.80	1.97
hurricane	-1.78	0.73
committed	-1.78	0.57
precisely	-1.77	1.77
cheap	-1.76	0.66
forgot	-1.74	1.94
everywhere	-1.74	0.76
cigarettes	-1.73	1.18
considering	-1.73	1.61
creation	-1.72	2.23
protest	-1.72	0.78
death	-1.72	0.84
deserve	-1.71	2.00
enemies	-1.71	2.29
gods	-1.70	2.10
families	-1.69	2.15
nervous	-1.69	1.82
causing	-1.69	0.65
wounded	-1.68	0.51
improve	-1.68	1.84
animal	-1.68	1.06
fool	-1.68	1.66
harm	-1.68	0.46
suspect	-1.68	0.69
occur	-1.67	0.89
minor	-1.66	0.77
guilty	-1.66	0.53
bird	-1.66	1.14
invisible	-1.65	0.87
suddenly	-1.64	1.04
chaos	-1.64	0.45
mccarthy	-1.63	2.16
smoke	-1.63	1.61
startled	-1.62	1.46
violence	-1.62	0.61
living	-1.62	2.13
feared	-1.62	1.74
threatened	-1.61	0.57
injuries	-1.60	0.72
injury	-1.60	0.64
innocent	-1.59	0.51
magic	-1.59	1.83
accompanied	-1.59	0.61
crisis	-1.58	0.57
bear	-1.56	0.78
soap	-1.56	1.59
embarrassed	-1.56	1.86
dogs	-1.55	0.85
tiger	-1.55	0.96
wealthy	-1.54	2.07
dog	-1.54	0.66
wolf	-1.54	0.92
burned	-1.53	1.33
arrested	-1.53	0.51
bomb	-1.52	0.78
bunch	-1.52	2.00
wound	-1.52	0.61
shocked	-1.52	1.71
absolute	-1.51	2.02
damn	-1.51	1.85
caused	-1.51	0.59
severe	-1.51	0.46
spirits	-1.50	2.25
accused	-1.50	0.49
sweat	-1.50	1.65
angels	-1.50	2.22
assault	-1.49	0.49
strikes	-1.48	0.57
attacks	-1.46	0.83
deeply	-1.46	1.32
survived	-1.46	0.84
pig	-1.46	0.62
beer	-1.44	0.63
insects	-1.44	0.70
stroke	-1.44	0.57
attack	-1.44	0.61
terrorism	-1.44	0.81
illness	-1.44	0.39
animals	-1.43	1.13
dumb	-1.43	1.57
humans	-1.42	1.17
pain	-1.42	0.68
killed	-1.41	0.67
lately	-1.41	1.57
whole	-1.40	2.08
mixed	-1.40	1.40
tail	-1.40	0.79
afraid	-1.40	1.18
communities	-1.39	1.29
virus	-1.39	0.57
trembling	-1.39	0.96
terrorist	-1.38	0.91
birds	-1.38	0.99
sad	-1.37	1.97
elderly	-1.37	1.90
whoever	-1.36	0.50
drank	-1.36	0.73
cared	-1.36	1.76
urban	-1.36	1.29
spell	-1.35	0.87
tobacco	-1.35	1.41
bleeding	-1.35	0.42
increasingly	-1.34	1.14
drinks	-1.34	0.65
useless	-1.34	0.88
giant	-1.33	0.90
pet	-1.33	0.68
drink	-1.33	0.65
changing	-1.33	2.06
act	-1.33	0.79
loss	-1.33	0.57
bears	-1.32	0.78
threatening	-1.32	0.75
